tag,gt_x,gt_y,gt_z,min_x,min_y,min_z,topk_x,topk_y,topk_z,err_hard,err_raw,err_topk,cos_gt,margin,at_boundary,gt_outside_grid,e_min,e_max
t_az135_el45_ny_p0,-0.0004,-0.0556,-0.0067,0.02,0.02,0.02,0.0222,0.0217,0.0144,0.0827,0.0827,0.0832,-0.646,2.467,0,0,0.4054,0.4575
t_az135_el45_ny_p1,-0.0011,-0.0557,-0.0077,0.02,0.02,0.02,0.0217,0.0144,0.0167,0.0833,0.0833,0.0776,-0.662,2.339,0,0,0.4101,0.4568
t_az135_el45_ny_p2,0.0001,-0.0557,-0.0077,0.02,0.02,0.02,0.0283,0.0122,0.0178,0.083,0.083,0.0778,-0.65,2.395,0,0,0.4139,0.4643
t_az135_el45_nz_p0,-0.0011,-0.0001,-0.0622,0.02,0.0,-0.02,0.0156,0.0011,-0.0178,0.0472,0.0472,0.0474,0.694,2.814,0,0,0.3984,0.4452
t_az135_el45_nz_p1,-0.0012,-0.0001,-0.0615,0.0,0.0,0.0,0.0139,-0.0028,-0.0217,0.0615,0.0615,0.0427,0.0,3.081,0,0,0.3906,0.4389
t_az135_el45_nz_p2,-0.0015,-0.0001,-0.0627,0.0,0.0,0.0,0.0117,0.0106,-0.025,0.0628,0.0628,0.0413,0.0,2.697,0,0,0.4105,0.4559
t_az135_el45_px_p0,0.0546,-0.0002,-0.0075,0.0,0.06,0.0,0.0106,0.0517,-0.0067,0.0816,0.0816,0.068,-0.003,3.117,0,0,0.4211,0.4611
t_az135_el45_px_p1,0.0539,-0.0001,-0.0079,0.02,0.04,0.0,0.01,0.0461,-0.0044,0.0531,0.0531,0.0638,0.441,2.733,0,0,0.4082,0.4559
t_az135_el45_px_p2,0.0535,-0.0001,-0.0071,0.02,0.04,0.0,0.0239,0.0383,0.0,0.0528,0.0528,0.0491,0.442,2.619,0,0,0.4025,0.4476
t_az135_el45_py_p0,-0.0004,0.0554,-0.0067,-0.02,0.0,-0.02,-0.015,-0.02,-0.0217,0.0603,0.0603,0.0782,0.089,2.762,0,0,0.4232,0.4571
t_az135_el45_py_p1,-0.0003,0.0554,-0.007,-0.02,-0.02,-0.02,-0.025,-0.0106,-0.0133,0.079,0.079,0.0707,-0.497,2.941,0,0,0.4129,0.4577
t_az135_el45_py_p2,0.0004,0.0554,-0.0068,-0.02,0.0,-0.02,-0.0244,-0.0044,-0.0128,0.0605,0.0605,0.0651,0.08,2.861,0,0,0.4055,0.4455
t_az135_el45_pz_p0,0.0006,-0.0001,0.0488,0.0,0.0,0.02,0.0083,0.0039,0.0189,0.0288,0.0288,0.0312,1.0,3.324,0,0,0.3911,0.4491
t_az135_el45_pz_p1,0.0013,-0.0002,0.0479,0.0,0.02,0.04,0.0006,0.0094,0.0239,0.0218,0.0218,0.0259,0.892,2.858,0,0,0.3828,0.4405
t_az135_el45_pz_p2,0.0001,-0.0001,0.0482,0.0,0.0,0.02,0.0072,0.0078,0.0289,0.0282,0.0282,0.0221,1.0,3.15,0,0,0.3889,0.454
t_az45_el20_nx_p0,-0.0556,-0.0,-0.0053,-0.02,-0.02,-0.02,-0.0178,-0.0317,-0.0122,0.0434,0.0434,0.0498,0.63,2.514,0,0,0.4008,0.4433
t_az45_el20_nx_p1,-0.0555,0.0,-0.0043,-0.04,0.0,-0.02,-0.0339,-0.0094,-0.0161,0.0221,0.0221,0.0264,0.926,2.672,0,0,0.4135,0.4511
t_az45_el20_nx_p2,-0.0557,-0.0,-0.0046,-0.02,-0.02,-0.02,-0.0339,-0.0133,-0.0106,0.0437,0.0437,0.0263,0.623,2.462,0,0,0.4057,0.4493
